Date;Open;High;Low;Close;Volume;Adj Close;;;;;;;;
16.01.2012;19070.74;19070.74;18985.75;19012.20;1354845900;19012.20;;;;;;;;
13.01.2012;19232.21;19232.21;19073.18;19204.42;2018465200;19204.42;;;;;;;;
12.01.2012;19112.76;19261.29;19050.95;19095.38;1791582400;19095.38;;;;;;;;
11.01.2012;19071.90;19175.85;18983.14;19151.94;2037326200;19151.94;;;;;;;;
10.01.2012;18948.12;19086.53;18858.57;19004.28;1994815200;19004.28;;;;;;;;
09.01.2012;18588.36;18884.26;18302.84;18865.72;1380951700;18865.72;;;;;;;;
06.01.2012;18784.86;18784.86;18506.58;18593.06;1434068900;18593.06;;;;;;;;
05.01.2012;18753.38;18821.09;18723.28;18813.41;1035426900;18813.41;;;;;;;;
04.01.2012;18970.60;18970.60;18687.94;18727.31;1169241200;18727.31;;;;;;;;
03.01.2012;18770.64;18886.12;18724.17;18877.41;1247580300;18877.41;;;;;;;;
02.01.2012;0;0;0;18655.90;0;0;;;;;;;;
30.12.2011;18489.04;18506.27;18415.85;18434.39;837154800;18434.39;;;;;;;;
29.12.2011;18329.61;18409.12;18293.81;18397.92;1205224300;18397.92;;;;;;;;
28.12.2011;18621.50;18621.50;18461.97;18518.67;862673200;18518.67;;;;;;;;
27.12.2011;18629.17;18629.17;18629.17;18629.17;0;18629.17;;;;;;;;
26.12.2011;0;0;0;18629.17;0;0;;;;;;;;
23.12.2011;18589.68;18636.75;18539.59;18629.17;965404400;18629.17;;;;;;;;
22.12.2011;18356.87;18388.01;18238.38;18378.23;903858400;18378.23;;;;;;;;
21.12.2011;18462.64;18473.19;18288.65;18416.45;1424472900;18416.45;;;;;;;;
20.12.2011;18044.75;18270.70;18010.26;18080.20;1196532600;18080.20;;;;;;;;
19.12.2011;18053.64;18092.35;17821.52;18070.21;1392940100;18070.21;;;;;;;;
16.12.2011;18025.60;18390.41;18025.60;18285.39;2209494000;18285.39;;;;;;;;
15.12.2011;18122.73;18133.94;17895.15;18026.84;1711814800;18026.84;;;;;;;;
14.12.2011;18301.05;18476.15;18280.67;18354.43;1203253600;18354.43;;;;;;;;
13.12.2011;18327.45;18465.39;18297.66;18447.17;1049706200;18447.17;;;;;;;;
12.12.2011;18853.32;18919.42;18508.12;18575.66;1167983200;18575.66;;;;;;;;
09.12.2011;18721.16;18840.93;18511.42;18586.23;1661916300;18586.23;;;;;;;;
08.12.2011;19112.33;19137.56;18956.41;19107.81;1297769200;19107.81;;;;;;;;
07.12.2011;19114.02;19242.80;19009.43;19240.58;1846600800;19240.58;;;;;;;;
06.12.2011;19011.81;19038.48;18818.68;18942.23;1252330600;18942.23;;;;;;;;
05.12.2011;19117.89;19188.86;18972.90;19179.69;1604780700;19179.69;;;;;;;;
02.12.2011;18977.20;19151.65;18878.31;19040.39;2307844400;19040.39;;;;;;;;
01.12.2011;19033.96;19050.56;18868.32;19002.26;3561534800;19002.26;;;;;;;;
30.11.2011;18192.29;18192.29;17860.80;17989.35;3420057200;17989.35;;;;;;;;
29.11.2011;18225.10;18372.45;18053.92;18256.20;1726122400;18256.20;;;;;;;;
28.11.2011;18019.21;18095.20;17954.19;18037.81;1142332600;18037.81;;;;;;;;
25.11.2011;17658.78;17827.81;17613.20;17689.48;944755200;17689.48;;;;;;;;
24.11.2011;17657.69;17997.07;17657.69;17935.10;1402041200;17935.10;;;;;;;;
23.11.2011;17954.58;17964.40;17838.74;17864.43;1582422900;17864.43;;;;;;;;
22.11.2011;18225.48;18355.12;18017.50;18251.59;1961345200;18251.59;;;;;;;;
21.11.2011;18213.72;18293.94;18054.23;18225.85;1367022700;18225.85;;;;;;;;
18.11.2011;18561.04;18561.04;18398.96;18491.23;1662337300;18491.23;;;;;;;;
17.11.2011;18686.17;18958.97;18657.74;18817.47;2567727600;18817.47;;;;;;;;
16.11.2011;19483.10;19483.10;18768.67;18960.90;1615190400;18960.90;;;;;;;;
15.11.2011;19305.28;19420.06;19240.35;19348.44;5166622000;19348.44;;;;;;;;
14.11.2011;19600.37;19640.68;19496.16;19508.18;1683768000;19508.18;;;;;;;;
11.11.2011;19143.58;19206.34;19028.31;19137.17;1279485000;19137.17;;;;;;;;
10.11.2011;19091.40;19199.08;18945.58;18963.89;2485571200;18963.89;;;;;;;;
09.11.2011;20067.38;20173.14;19967.17;20014.43;1943931200;20014.43;;;;;;;;
08.11.2011;19848.50;19914.92;19659.94;19678.47;1464882800;19678.47;;;;;;;;
07.11.2011;19894.22;19977.09;19649.57;19677.89;1619993100;19677.89;;;;;;;;
04.11.2011;19922.77;19981.52;19773.31;19842.79;2257596200;19842.79;;;;;;;;
03.11.2011;19418.82;19541.12;19142.34;19242.50;2140898800;19242.50;;;;;;;;
02.11.2011;19091.85;19745.48;19024.07;19733.71;1962952400;19733.71;;;;;;;;
01.11.2011;19461.08;19698.99;19322.60;19369.96;1764802800;19369.96;;;;;;;;
31.10.2011;20027.72;20155.62;19699.33;19864.87;1747618800;19864.87;;;;;;;;
28.10.2011;20152.22;20272.38;19972.24;20019.24;3745456800;20019.24;;;;;;;;
27.10.2011;19067.59;19693.19;19046.47;19688.70;3148372200;19688.70;;;;;;;;
26.10.2011;18727.96;19106.74;18705.08;19066.54;1680825800;19066.54;;;;;;;;
25.10.2011;18867.51;18981.57;18801.42;18968.20;1900999600;18968.20;;;;;;;;
24.10.2011;18444.16;18826.85;18435.41;18771.82;1951463600;18771.82;;;;;;;;
21.10.2011;18034.20;18082.43;17926.29;18025.72;1068828900;18025.72;;;;;;;;
20.10.2011;18198.12;18198.12;17782.00;17983.10;1265983300;17983.10;;;;;;;;
19.10.2011;18400.33;18426.29;18203.99;18309.22;1373247600;18309.22;;;;;;;;
18.10.2011;18411.40;18411.40;17963.26;18076.46;2198094000;18076.46;;;;;;;;
17.10.2011;18808.66;18908.17;18675.81;18873.99;1626920400;18873.99;;;;;;;;
14.10.2011;18639.43;18665.95;18367.85;18501.79;1491146200;18501.79;;;;;;;;
13.10.2011;18601.65;18758.74;18453.05;18757.81;2336936000;18757.81;;;;;;;;
12.10.2011;17990.56;18411.77;17804.56;18329.46;2169091800;18329.46;;;;;;;;
11.10.2011;18441.87;18456.16;18041.70;18141.59;3122935200;18141.59;;;;;;;;
10.10.2011;17853.26;17859.35;17437.84;17711.06;1782360800;17711.06;;;;;;;;
07.10.2011;17540.72;17800.72;17505.38;17707.01;2463267200;17707.01;;;;;;;;
06.10.2011;16975.00;17179.93;16849.45;17172.28;3071248600;17172.28;;;;;;;;
04.10.2011;16731.58;16840.91;16170.35;16250.27;2858417000;16250.27;;;;;;;;
03.10.2011;17179.20;17179.20;16717.14;16822.15;3227049200;16822.15;;;;;;;;
30.09.2011;17946.24;17946.24;17502.08;17592.41;3583124800;17592.41;;;;;;;;
28.09.2011;17962.49;18101.27;17843.95;18011.06;2514562600;18011.06;;;;;;;;
27.09.2011;17818.97;18136.02;17769.06;18130.55;2660498600;18130.55;;;;;;;;
26.09.2011;17634.42;17734.84;16999.54;17407.80;3000657200;17407.80;;;;;;;;
23.09.2011;17585.79;17813.57;17373.41;17668.83;3973027600;17668.83;;;;;;;;
22.09.2011;18296.80;18296.80;17859.31;17911.95;2672498800;17911.95;;;;;;;;
21.09.2011;18891.50;19023.57;18698.90;18824.17;1874705200;18824.17;;;;;;;;
